task,reward_contract,policy,seed,horizon,estimator,denominator,clip,estimate,interval_low,interval_high,ess,ess_fraction,unsupported_target_mass,weight_median,weight_p95,weight_p99,weight_max,finite,evidence_status,development_only_single_pass,preferred_estimator_selected,identified_target_policy_value,diagnostic_changed_estimand,diagnostic_assumption,known_value_median_coverage90,known_value_median_rank_recovery,known_value_median_sign_recovery,known_value_false_improvement_rate,interpretation,descriptive_not_authorization,detail,reason
sepsis,terminal_90d_only,behavior_cloning,3408,1,PDIS,historical_knn,20.0,0.0092398647669499,0.0014586520765266,0.0187957943304122,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.5333333333333333,0.1428571428571428,0.4,0.2070833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WPDIS,historical_knn,20.0,0.0072162849216777,0.0011212061277845,0.0146093607488599,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,CWPDIS,historical_knn,20.0,0.0050422380512523,-0.0006005910952502,0.0119153327355078,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1613888888888889,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,DR,historical_knn,20.0,0.0084436595649549,0.0005134327144333,0.0176025110203497,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.1428571428571428,0.4,0.2090277777777777,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WDR,historical_knn,20.0,0.007193333105798,0.0010100539826184,0.014633649486271,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.2571428571428572,0.6,0.1720833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,FQE,historical_knn,20.0,0.0027345458751047,0.0026071205729495,0.0028706345309637,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.0,0.2,0.4,0.2355555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,support_restricted_WPDIS,historical_knn,20.0,0.0072162849216777,0.0011212061277845,0.0146093607488599,412.0640698734987,0.6667703396011305,0.0,1.0130321825539772,2.72188713186669,4.7577838259456975,9.23019577356073,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,IS,neural_classifier,none,0.0063742598421963,0.0003782424803885,0.0130801552218814,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.4333333333333333,0.3142857142857143,0.4,0.2220833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WIS,neural_classifier,none,0.0058706730256919,0.0003330644744198,0.0120445123489733,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.5833333333333333,0.4285714285714286,0.6,0.1954166666666666,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,PDIS,neural_classifier,none,0.0063742598421963,0.0003782424803885,0.0130801552218814,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.5333333333333333,0.1428571428571428,0.4,0.2070833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WPDIS,neural_classifier,none,0.0058706730256919,0.0003330644744198,0.0120445123489733,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,CWPDIS,neural_classifier,none,0.0048336372762394,-0.0007082282690355,0.0113240462641919,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1613888888888889,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,DR,neural_classifier,none,0.0056322622735002,8.187455636238313e-05,0.0120955638952988,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.1428571428571428,0.4,0.2090277777777777,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WDR,neural_classifier,none,0.0054033334547312,0.0003113698158646,0.0113868835182353,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.2571428571428572,0.6,0.1720833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,FQE,neural_classifier,none,0.0027345458751047,0.0026071205729495,0.0028706345309637,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.0,0.2,0.4,0.2355555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,support_restricted_WPDIS,neural_classifier,none,0.0058706730256919,0.0003330644744198,0.0120445123489733,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,IS,neural_classifier,20.0,0.0063742598421963,0.0003782424803885,0.0130801552218814,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.4333333333333333,0.3142857142857143,0.4,0.2220833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WIS,neural_classifier,20.0,0.0058706730256919,0.0003330644744198,0.0120445123489733,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.5833333333333333,0.4285714285714286,0.6,0.1954166666666666,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,PDIS,neural_classifier,20.0,0.0063742598421963,0.0003782424803885,0.0130801552218814,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.5333333333333333,0.1428571428571428,0.4,0.2070833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,1,WPDIS,neural_classifier,20.0,0.0058706730256919,0.0003330644744198,0.0120445123489733,508.92229915088586,0.8234988659399448,0.0,0.96521326687254,1.7916659248532762,2.574780259563516,8.527353860194864,1.0,reported_supported,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
